code,description,level,revit,
Pr_20_29_88_74,Roofing straps,5,-2009030,
Pr_20_29_88_75,Roofing swags,5,-2009030,
Pr_20_29_96,Welded joints,4,-2009030,
Pr_20_29_96_03,Aluminothermic rail welds,5,-2009030,
Pr_20_29_97,Welding joint fillers,4,-2009030,
Pr_20_29_97_09,Brazing joint fillers,5,-2009030,
Pr_20_29_97_26,Electric welding joint fillers,5,-2009030,
Pr_20_29_97_33,Gas welding joint fillers,5,-2009030,
Pr_20_29_97_81,Soldering joint fillers,5,-2009030,
Pr_20_65_60_47,Light-gauge steel floors and roofs,5,-2001320,
Pr_20_65_60_48,Light-gauge steel frame panels,5,-2000011,
Pr_20_65_60_84,Structural insulated panel (SIP) modules,5,-2000011,
Pr_20_65_60_88,Timber frame floors and roofs,5,-2001320,
Pr_20_65_60_89,Timber frame panels,5,-2000011,
Pr_20_76_06,Balusters and newel posts,4,-2000126,
Pr_20_76_06_03,Aluminium balusters and newel posts,5,-2000126,
Pr_20_76_06_11,Carbon steel balusters and newel posts,5,-2000126,
Pr_20_76_06_12,Cast iron balusters and newel posts,5,-2000126,
Pr_20_76_06_16,Concrete balusters and newel posts,5,-2000126,
Pr_20_76_06_36,Hardwood balusters and newel posts,5,-2000126,
Pr_20_76_06_63,Plastics balusters and newel posts,5,-2000126,
Pr_20_76_06_80,Softwood balusters and newel posts,5,-2000126,
Pr_20_76_06_83,Stainless steel balusters and newel posts,5,-2000126,
Pr_20_76_06_86,Stone balusters and newel posts,5,-2000126,
Pr_20_76_06_88,Timber spindles,5,-2000126,
Pr_20_76_08,Bollards and impact protectors,4,-2001350,
Pr_20_76_08_02,Aluminium alloy bollards,5,-2001350,
Pr_20_76_08_03,Aluminium alloy hinged bollards,5,-2001350,
Pr_20_76_08_04,Aluminium alloy telescopic bollards,5,-2001350,
Pr_20_76_08_10,Carbon steel bollards,5,-2001350,
Pr_20_76_08_11,Carbon steel hinged bollards,5,-2001350,
Pr_20_76_08_12,Carbon steel rising bollards,5,-2001350,
Pr_20_76_08_13,Carbon steel telescopic bollards,5,-2001350,
Pr_20_76_08_14,Cast iron bollards,5,-2001350,
Pr_20_76_08_15,Collapsible metal bollards,5,-2001350,
Pr_20_76_08_16,Collapsible polymer bollards,5,-2001350,
Pr_20_76_08_17,Collapsible timber bollards,5,-2001350,
Pr_20_76_08_18,Composite bollards,5,-2001350,
Pr_20_76_08_19,Concrete bollards,5,-2001350,
Pr_20_76_08_36,Hardwood bollards,5,-2001350,
Pr_20_76_08_51,Metal bollards,5,-2001350,
Pr_20_76_08_52,Metal impact protectors,5,-2001350,
Pr_20_76_08_53,Metal impact protectors with infill,5,-2001350,
Pr_20_76_08_60,Panel fenders,5,-2001350,
Pr_20_76_08_62,Plastics bollards,5,-2001350,
Pr_20_76_08_63,Plastics hinged car bollards,5,-2001350,
Pr_20_76_08_64,Plastics rising bollards,5,-2001350,
Pr_20_76_08_65,Plastics telescopic bollards,5,-2001350,
Pr_20_76_08_66,Polymer bollards,5,-2001350,
Pr_20_76_08_67,Precast concrete bollards,5,-2001350,
Pr_20_76_08_71,Retracting metal bollards,5,-2001350,
Pr_20_76_08_82,Stainless steel bollards,5,-2001350,
Pr_20_76_08_83,Stainless steel hinged bollards,5,-2001350,
Pr_20_76_08_84,Stainless steel rising bollards,5,-2001350,
Pr_20_76_08_85,Stainless steel telescopic bollards,5,-2001350,
Pr_20_76_08_86,Stone bollards,5,-2001350,
Pr_20_76_08_88,Timber bollards,5,-2001350,
Pr_20_76_51_02,Aluminium curtain wall frame sections,5,-2000011,
Pr_20_76_51_14,Carbon steel curtain wall frame sections,5,-2000011,
Pr_20_76_51_51,Metal mullions and transoms,5,-2000011,
Pr_20_76_63_92,Unplasticized polyvinyl chloride (PVC-U) curtain wall frame sections,5,-2000011,
Pr_20_76_88_32,Hardwood capping and counter fencing rails,5,-2000126,
Pr_20_76_88_33,Hardwood components for fencing and barriers,5,-2000126,
Pr_20_76_88_34,Hardwood fencing rails,5,-2000126,
Pr_20_76_88_35,Hardwood floating floor battens,5,-2000032,
Pr_20_76_88_41,Hardwood partition studs,5,-2000011,
Pr_20_76_88_42,Hardwood rafters,5,-2001336,
Pr_20_76_88_43,Hardwood roofing and cladding battens,5,-2000035,
Pr_20_76_88_72,Softwood capping and counter fencing rails,5,-2000126,
Pr_20_76_88_73,Softwood components for fencing and barriers,5,-2000126,
Pr_20_76_88_74,Softwood fencing rails,5,-2000126,
Pr_20_76_88_75,Softwood floating floor battens,5,-2000032,
Pr_20_76_88_80,Softwood partition studs,5,-2000011,
Pr_20_76_88_81,Softwood rafters,5,-2001336,
Pr_20_76_88_82,Softwood roofing and cladding battens,5,-2000035,
Pr_20_76_88_86,Timber fencing battens,5,-2000126,
Pr_20_76_88_87,Timber partition battens,5,-2000011,
Pr_20_85_03,Angles,4,-2001354,
Pr_20_85_03_02,Aluminium angles,5,-2001354,
Pr_20_85_03_11,Carbon steel angle sections,5,-2001354,
Pr_20_85_03_50,Masonry angle supports,5,-2001354,
Pr_20_85_03_63,Plain angle supports,5,-2001354,
Pr_20_85_03_84,Stainless steel angles,5,-2001354,
Pr_20_85_03_85,Stainless steel cladding angles,5,-2001354,
Pr_20_85_07,Barrier rails,4,-2000126,
Pr_20_85_07_02,Aluminium alloy rails,5,-2000126,
Pr_20_85_07_03,Aluminium support rails,5,-2000126,
Pr_20_85_07_04,Aluminium carrier rails,5,-2000126,
Pr_20_85_07_10,Carbon steel carrier rails,5,-2000126,
Pr_20_85_07_11,Carbon steel fencing and barrier rails,5,-2000126,
Pr_20_85_07_12,Carbon steel fencing and barrier top rails,5,-2000126,
Pr_20_85_07_13,Carbon steel safety barrier open box beams,5,-2000126,
Pr_20_85_07_14,Carbon steel safety barrier rectangular hollow sections,5,-2000126,
Pr_20_85_07_15,Carbon steel safety barrier tensioned corrugated beams,5,-2000126,
Pr_20_85_07_16,Carbon steel safety barrier transitions and connections,5,-2000126,
Pr_20_85_07_17,Carbon steel safety barrier un-tensioned corrugated beams,5,-2000126,
Pr_20_85_07_18,Carbon steel support rails,5,-2000126,
Pr_20_85_07_19,Cast iron rails,5,-2000126,
Pr_20_85_07_20,Concrete rails,5,-2000126,
Pr_20_85_07_63,Plastics rails,5,-2000126,
Pr_20_85_07_65,Protective frames,5,-2000126,
Pr_20_85_07_83,Stainless steel carrier rails,5,-2000126,
Pr_20_85_07_84,Stainless steel rails,5,-2000126,
Pr_20_85_07_85,Stainless steel support rails,5,-2000126,
Pr_20_85_07_92,Unplasticized polyvinyl chloride (PVC-U) support rails,5,-2000126,
Pr_20_85_07_97,Wall-mounted furniture support rails,5,-2000126,
Pr_20_85_08,Beams and joists,4,-2001320,
Pr_20_85_08_02,Aluminium structural beams,5,-2001320,
Pr_20_85_08_11,Carbon steel beams,5,-2001320,
Pr_20_85_08_12,Castellated carbon steel beams,5,-2001320,
Pr_20_85_08_15,Concrete beams,5,-2001320,
Pr_20_85_08_33,Glued laminated timber beams,5,-2001320,
Pr_20_85_08_36,Hardwood beams,5,-2001320,
Pr_20_85_08_63,Plastics beams,5,-2001320,
Pr_20_85_08_65,Post-tensioned concrete beams,5,-2001320,
Pr_20_85_08_66,Prestressed concrete T-beams,5,-2001320,
Pr_20_85_08_81,Softwood beams,5,-2001320,
Pr_20_85_08_83,Stainless steel structural beams,5,-2001320,
Pr_20_85_08_84,Structural wood-composite box beams,5,-2001320,
Pr_20_85_08_85,Structural wood-composite I-beams,5,-2001320,
Pr_20_85_08_86,Structural wood-composite I-joists,5,-2001320,
Pr_20_85_08_87,Structural wood composites ,5,-2001320,
